Perfume,Brand,Top,Middle,Base,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
la-fantastique,bourjois,"pear, pink pepper","rose, jasmine","musk, cashmere wood",musky,rose,white floral,woody,floral
cafe-south-beach,cafe-parfums,"passionfruit, pineapple, orange, grapefruit","raspberry, peony, tiare flower, magnolia, violet","musk, myrtle, vanilla, sandalwood",fruity,sweet,citrus,floral,fresh
red-cherry,castelbajac,red berries,cherry,"vanilla, praline",sweet,fruity,vanilla,cherry,fresh
la-nuit-danse,chabaud-maison-de-parfum,bergamot,"floral notes, violet, heliotrope, jasmine","rice, vanilla, tonka bean, sandalwood",floral,powdery,vanilla,violet,woody
cuba-jungle-snake,cuba-paris,"angelica, tuberose","rose, jasmine",musk,musky,white floral,powdery,rose,amber
enjoy-woman,custo-barcelona,"mandarin orange, bergamot, ginger, pepper","raspberry, jasmine, apple, litchi, gardenia","woodsy notes, moss, amber",citrus,fruity,fresh spicy,white floral,warm spicy
coco,adopt-parfums,"coconut milk, rum","milk, caramel",vanilla,lactonic,coconut,sweet,vanilla,caramel
the-majestic-amber,alexandre-j,"peach, grapefruit","davana, rose","toffee, ambroxan, vanilla, patchouli",sweet,amber,vanilla,fruity,musky
aramis-always-for-her,aramis,"watercress, mandarin orange","mignonette, hibiscus, magnolia","milk, incense, exotic woods, labdanum",lactonic,fresh spicy,floral,green,amber
dkny-be-delicious-nyc,donna-karan,"cucumber, grapefruit, magnolia","green apple, lily-of-the-valley, rose, tuberose, violet","woodsy notes, amber, sandalwood",green,ozonic,aquatic,fruity,fresh
dkny-women-summer-2019,donna-karan,"rhubarb, mandarin orange, black currant, bitter orange","jasmine sambac, freesia, rose, galbanum","cedar, amberwood, musk",woody,fruity,citrus,green,aromatic
private,franck-olivier,"black currant, melon, dried fruits, red apple, tangerine","lily-of-the-valley, rose, sandalwood, jasmine, clove","sea water, oakmoss, musk",fruity,marine,white floral,woody,aromatic
haute-couture,hanae-mori,"coriander, bergamot, lily-of-the-valley","narcissus, jasmine, tuberose, gardenia, iris","precious woods, musk, sandalwood",white floral,aromatic,woody,citrus,green
colour-me-red,milton-lloyd,"freesia, spicy notes, peony, bergamot","red berries, carnation, oakmoss, violet, jasmine","vetiver, orris root, sandalwood, vanilla",floral,warm spicy,woody,fruity,fresh
flowers-of-evil,patrice-martin,"tarragon, neroli, bergamot, marigold, lemon, eucalyptus","jasmine, patchouli, oakmoss, sandalwood, violet","vetiver, white musk, ambergris",aromatic,woody,citrus,white floral,fresh spicy
tiare-flower-beach,ulric-de-varens,"tiare flower, coconut milk","tuberose, ylang-ylang",coconut,white floral,tuberose,sweet,coconut,yellow floral
speedlife-woman,tom-tailor,"bergamot, watermelon, apple, peach","jasmine, peony, rose","vetiver, vanilla, sandalwood",fruity,citrus,ozonic,aquatic,floral
honeysuckle-dream,skylar,"pear leaf, black currant, bergamot","honeysuckle, lily, orange blossom","cashmere wood, sandalwood, amber",white floral,fruity,woody,unknown,unknown
russian-flowers-exciting,sergio-nero,"rhubarb, black currant, mandarin orange","violet, rose, geranium","musk, amber, sandalwood",rose,aromatic,powdery,violet,fruity
s-t-dupont-essence-pure-ice-pour-femme,s-t-dupont,"mandarin orange, watermelon, bergamot","lotus, jasmine, rose","patchouli, amber, rice",citrus,ozonic,aquatic,floral,patchouli
outstanding-women,s-oliver,"raspberry, red currant, mandarin orange","peony, freesia, lily-of-the-valley","sandalwood, cedar, vanilla",fruity,floral,fresh,sweet,woody
mystical-misfit,pinrose,peach,red berries,patchouli,fruity,sweet,patchouli,woody,fresh
frutto-della-passione,l-erbolario,"bergamot, rose, ylang-ylang, jasmine, green mandarin","passion flower, passionfruit, pineapple, nectarine, peach, patchouli, neroli, cinnamon, pink grapefruit, apple, hoary stock","oakmoss, cashmere wood, white musk, cedar, iris, vanilla, sandalwood, amber",fruity,sweet,floral,tropical,woody
fruit-d-amour-turquoise,emanuel-ungaro,"sea notes, coconut, grapefruit","tiare flower, orchid, orange blossom","sandalwood, patchouli, vanilla",marine,white floral,aromatic,citrus,sweet
sweet-vanilla,dilis-parfum,"pineapple, coconut, grapefruit","gardenia, lily-of-the-valley, cyclamen, rose","milk, vanilla, sandalwood, amber, cedar",lactonic,vanilla,sweet,coconut,fruity
la-vida,ciclo-cosmeticos,"pear, raspberry, cassis","jasmine, orange blossom, iris","vanila, patchouli, praline, tonka bean",sweet,vanilla,fruity,white floral,patchouli
celine,celine,"pear, red berries, black currant, violet leaf, bergamot","magnolia, freesia, jasmine, iris","sandalwood, vanilla, labdanum, incense, ambergris",fruity,floral,woody,amber,sweet
belle-icone,caline,"saffron, jasmine","cedar, bitter almond","amber, musk",warm spicy,woody,amber,metallic,leather
dangerous-woman,bruno-banani,black currant,"coconut milk, floral notes","vanilla absolute, heliotrope",vanilla,coconut,sweet,powdery,fruity
no-limits-woman,bruno-banani,"black currant, mandarin orange, tagetes","cacao pod, jasmine sambac, peach blossom","vanilla, raspberry",fruity,sweet,vanilla,floral,cacao
pure-sunshine,body-fantasies,"carambola (star fruit), solar notes, citruses, nectarine","whipped cream, strawberry, jasmine, honeysuckle","musk, vanilla bean, amber",fruity,citrus,sweet,fresh,tropical
pacha-ibiza-glam,pacha-ibiza,"plum, grapefruit, apricot","peony, jasmine","vanilla, benzoin",fruity,vanilla,sweet,citrus,floral
mira,al-rehab,"peony, peach blossom","mandarin orange, orange blossom, chinese osmanthus","cedar, vanilla, amber",citrus,floral,woody,white floral,fruity
crystal-aura,avon,"carambola (star fruit), aldehydes","osmanthus, rose","musk, orangewood",fruity,floral,musky,tropical,rose
parisian-chic,avon,"raspberry, pomegranate, italian mandarin","rose, gardenia, jasmine","sandalwood, amber, musk, belambra tree",fruity,woody,sweet,white floral,rose
flower-by-cynthia-rowley-edp,avon,"violet leaf, citruses","lily, freesia, floral notes, jasmine, water lily","sandalwood, vanilla, musk, cashmere wood",floral,white floral,woody,soft spicy,musky
incandessence,avon,"orchid, lily-of-the-valley, cyclamen","tulip, peony",orchid,floral,fresh,unknown,unknown,unknown
scent-essence-blooming-lotus,avon,freesia,lotus,musk,floral,musky,aquatic,ozonic,powdery
mademoiselle-l-eau-tre-s-florale,azzaro,"quince, rhubarb","green leaves, tea rose","lily-of-the-valley, white musk, ambrette (musk mallow)",green,fruity,sweet,floral,musky
eternity-summer-2015,calvin-klein,"watermelon, mandarin orange, pear","water lily, peony, hyacinth","musk, sandalwood, white amber",floral,aquatic,fresh,ozonic,citrus
cool-water,davidoff,"melon, lotus, lemon, pineapple, quince, calone, lily, black currant","lotus, water lily, lily-of-the-valley, jasmine, honey, hawthorn, rose","musk, vetiver, violet root, raspberry, blackberry, peach, sandalwood, vanilla",fresh,floral,fruity,aquatic,ozonic
beautiful-magnolia,estee-lauder,"magnolia petals, lotus, mate","magnolia, gardenia, turkish rose, solar notes","musk, sandalwood, cedar",floral,musky,white floral,woody,aquatic
macrame,gritti,bergamot,"rose, cassis","musk, patchouli",musky,rose,patchouli,woody,aromatic
gucci-bamboo,gucci,bergamot,"casablanca lily, ylang-ylang, orange blossom","sandalwood, tahitian vanilla, amber",white floral,citrus,woody,yellow floral,sweet
flower-ikebana-mimosa,kenzo,kumquat,"mimosa absolute, sesame",hinoki wood,yellow floral,powdery,aromatic,floral,woody
aura-loewe-magnetica,loewe,"pink pepper, mandarin orange, bergamot","jasmine sambac, rose oil","musk, leather, bourbon vanilla, australian sandalwood, siam benzoin, patchouli",musky,citrus,powdery,leather,woody
daisy-spring,marc-jacobs,rose,palisander rosewood,cardamom,rose,warm spicy,woody,amber,floral
secret-eau-de-toilette,mugler,"red currant, kumquat","violet leaf, rose petals","white musk, cedar",musky,ozonic,fruity,rose,powdery
toxic-pink,natura,"pink pepper, bergamot, mandarin orange","rose, jasmine, lily-of-the-valley","musk, amber, cherry liqueur",cherry,sweet,musky,white floral,rose
nina-rose,nina-ricci,"lemon, bergamot, pear","orange blossom, neroli, jasmine","musk, cedar",citrus,white floral,fresh,sweet,aromatic
glamour-midnight,o-boticario,"plum, dates, almond","exotic spices, benzoin, cacao, black orchid","amber, peru balsam, patchouli, milk",amber,warm spicy,sweet,fruity,balsamic
catherine,rasasi,"aldehydes, water hyacinth, green notes, galbanum, bergamot, amalfi lemon","iris, rose, lily-of-the-valley, jasmine","oak moss, musk, virginia cedar, sandalwood",green,aldehydic,floral,fresh,woody
incanto-sky,salvatore-ferragamo,"granny smith apple, pear","white lotus, water jasmine","musk, peach",fruity,floral,fresh,aquatic,musky
tommy-girl-citrus-brights,tommy-hilfiger,"lemon, calabrian bergamot, watery notes, ginger","jasmine, nutmeg, coriander, sage","musk, cedar",citrus,aromatic,fresh spicy,fresh,aquatic
versus,versace,"kumquat, amalfi lemon, star apple","african orange flower, stephanotis, tincture of rose","musk, ambrette (musk mallow), patchouli",citrus,musky,white floral,aromatic,sweet
room-service,vilhelm-parfumerie,"blackberry, mandarin orange","orchid, violet, bamboo","musk, black amber, sandalwood",powdery,musky,fruity,violet,woody
ode-a-l-amour,yves-rocher,"plum, black currant, apple","plum, rock rose, ylang-ylang","sandalwood, amber, vanilla",fruity,woody,sweet,rose,unknown
iris-noir,yves-rocher,"coriander, bergamot","iris, ambrette (musk mallow)","patchouli, tonka bean",iris,patchouli,aromatic,earthy,woody
moon-1996,oriflame,"citruses, cardamom",floral notes,"iris, woodsy notes, musk",floral,iris,powdery,woody,musky
rose-radiant-gold,michael-kors,spices,floral notes,musk,floral,musky,warm spicy,powdery,unknown
bebe,bebe,"mango, tuberose, sweet pea","rose, jasmine, peony","sandalwood, virginia cedar, musk",woody,floral,white floral,rose,powdery
gold,bebe,"kumquat, pink pepper, juniper berries","orchid, jasmine","sandalwood, opoponax, amber",amber,woody,sweet,citrus,aromatic
second-skin,care,"raspberry, lemon, pear","iris, peach blossom, peony","vanilla, oak",floral,fruity,iris,vanilla,fresh
arvanta,faberlic,"big strawberry, sicilian mandarin, bergamot","kiwi, jasmine, violet","oakmoss, musk, amber",fruity,citrus,mossy,sweet,musky
this-is-her-vibes-of-freedom,zadig-voltaire,"pear, peony","rose, jasmine","whipped cream, chestnut",floral,rose,sweet,fresh,fruity
fior-di-loto,tesori-d-oriente,"peach, orange, rose","lotus, tuberose, jasmine, lily-of-the-valley","vanilla, sandalwood, musk, woodsy notes",woody,white floral,powdery,floral,vanilla
1853-lady,acqua-di-genova,"lavender, bergamot, mandarin orange, pepper","patchouli, amber, sandalwood","incense, musk, oakmoss, myrrh",amber,citrus,fresh spicy,warm spicy,woody
agent-provocateur,agent-provocateur,"indian saffron, magnolia","moroccan rose, vetiver, egyptian jasmine, gardenia","musk, cedar, amber",rose,musky,woody,warm spicy,floral
kobako-vintage-edition,bourjois,"aldehydes, cinnamon, cloves, citruses","orris root, rose, gardenia, galbanum, carnation, jasmine, magnolia, lily","oakmoss, civet, leather, musk, benzoin, olibanum, amber, tonka bean, vanilla",amber,warm spicy,musky,animalic,powdery
reginette,coquillete,"herbal notes, orange blossom, petitgrain, black currant","peach, honey, ac·cia, jelly, walnut","peach, apricot, plum, vetiver, agarwood (oud)",fruity,green,sweet,white floral,honey
dkny-red-delicious,donna-karan,"raspberry, litchi","apple, rose, patchouli","leather, amber, vanilla pod",fruity,fresh,sweet,rose,tropical
sunrise-women,franck-olivier,"raspberry, red apple, lemon","jasmine, orange blossom, tuberose","sandalwood, musk, patchouli",fruity,sweet,white floral,citrus,woody
fantasia-mermaid,anna-sui,"blood orange, cardamom, mandarin orange","litchi, peony, jasmine","honey, white wood, vanilla",citrus,honey,fruity,floral,sweet
gandali,id-parfums,"raspberry, pomegranate, passionfruit",jasmine,"sandalwood, vanilla, patchouli",fruity,woody,sweet,white floral,tropical
la-femme-de-fath,jacques-fath,"pink pepper, bergamot, orange","rose, peach, jasmine","oakmoss, patchouli, vetiver",rose,earthy,woody,citrus,mossy
coco-love,jacques-zolty,"coconut, bergamot","sea notes, ylang-ylang, jasmine","whipped cream, cypriol oil or nagarmotha, vanilla, tonka bean, amber",vanilla,sweet,coconut,lactonic,woody
laura-tender,laura-biagiotti,"pear, jasmine, mandarin orange","violet, magnolia, white rose","ambergris, musk, patchouli, vanilla",floral,citrus,violet,powdery,fruity
lovely-laura,laura-biagiotti,"plum, raspberry, tangerine","cherry blossom, rose, lilac","white musk, sandalwood, patchouli",fruity,floral,sweet,musky,fresh
indiscrete,libertin-louison-technique-indiscrete,"fruity notes, mandarin orange, bergamot","jasmine, tuberose, rose","caramel, vanille, oak moss, musk, woodsy notes",citrus,white floral,fruity,sweet,caramel
matsu-sakura,masaki-matsushima,"litchi, pear","japanese cherry blossom, sweet pea","musk, patchouli",floral,fruity,fresh,sweet,musky
purple-ruby,pascal-morabito,"big strawberry, raspberry, apple","peony, orange blossom, gardenia","vanilla, caramel, musk",sweet,fruity,vanilla,caramel,powdery
l-i-l-y,stella-mccartney,"pepper, truffle","lily-of-the-valley, pink pepper","oakmoss, patchouli, musk, ambrette (musk mallow)",earthy,musky,white floral,mossy,patchouli
marry-me-a-la-folie,lanvin,"black currant, bitter orange","rose, jasmine sambac","musk, cedar",rose,white floral,citrus,fruity,floral
ashwaq-noir,orientica,"bergamot, green notes","melon, pineapple, sweet notes","woody notes, vanilla, musk",sweet,woody,fruity,vanilla,powdery
mini-glamour,ulric-de-varens,"coconut, citruses","iris, jasmine, rose, tuberose","toffee, vanille, benzoin",sweet,vanilla,coconut,caramel,powdery
apple-blossom,pokrovka-trading-house,"apple, green notes, lemon","rose, jasmine","musk, cedar",green,fruity,fresh,rose,unknown
merry-maker,pinrose,"nectarine, grapefruit, cassis","plum, rose, violet","musk, moss, tonka bean",fruity,sweet,citrus,powdery,aromatic
3600,perry-ellis,"melon, lily, osmanthus, tangerine, rose","water lily, lily-of-the-valley, lavender, sage","musk, sandalwood, vetiver, amber, vanilla",white floral,floral,fresh,aquatic,aromatic
in-the-mood-for-love-tender,gianfranco-ferre,"aldehydes, tangerine, cassis","lotus, jasmine, rose","cypress, musk, benzoin",floral,aldehydic,citrus,fresh,aromatic
nuit-rose,fiorucci,"champagne, pink pepper, litchi","rose, peach blossom, freesia","raspberry, musk, woody notes",fruity,floral,rose,champagne,sweet
oriental-flower,esteban,"aldehydes, mandarin orange","tuberose, lavender, orange blossom","cedar, vanilla",white floral,citrus,tuberose,lavender,aldehydic
anita,esse-strikes-the-notes,"tuberose, jasmine, gardenia, cyclamen, rangoon creeper, orange blossom, violet","peony, lily-of-the-valley, rose, sandalwood, cashmere wood, black pepper","white musk, vanilla, white amber, ambrette (musk mallow)",white floral,floral,fresh,tuberose,musky
lady-presidente,emper,"mango, nectarine, blood orange","raspberry, lotus, star apple, water lily","musk, sandalwood, coconut",fruity,sweet,tropical,powdery,floral
saga,emper,"litchi, bergamot","sandalwood, jasmine, bulgarian rose","vanilla, white musk",woody,powdery,vanilla,fruity,white floral
apparition,emanuel-ungaro,"raspberry, sweet pepper","passion flower, rose","vanilla, patchouli, tonka bean, amber, heliotrope",fruity,sweet,vanilla,warm spicy,rose
dilis-classic-collection-no-21,dilis-parfum,"mint, reed, green lilac, mandarin orange","water lily, pepper, rose, violet, white peach, amaryllis","vanilla, cedar",floral,green,fresh spicy,fresh,aromatic
mystique,beverly-hills-polo-club,"orange blossom, lemon zest, orange","white flowers, tiare flower, neroli","patchouli, oakmoss",white floral,citrus,unknown,unknown,unknown
pure-pastel-mint,betty-barclay,"black currant, yuzu, pink pepper","tea rose, cyclamen, ylang-ylang","musk, sandalwood",floral,fruity,rose,musky,citrus
pure-pastel-peach,betty-barclay,"peach, passionfruit, grapefruit","frangipani, jasmine, violet leaf","vanilla, cashmeran, tonka bean",fruity,vanilla,sweet,tropical,powdery
eau-de-virginie,au-pays-de-la-fleur-d-oranger,"cardamom, pink pepper, bergamot","tuberose, mimosa, ylang-ylang, gardenia","sandalwood, vanilla, sweet notes",tuberose,white floral,warm spicy,yellow floral,aromatic
rose-irisee,au-pays-de-la-fleur-d-oranger,"vermouth, orange, bergamot","iris, almond, rose, ylang-ylang","cedar, woody notes, musk, sandalwood, patchouli, vanilla",woody,iris,powdery,violet,earthy
city-rush-glamour,avon,violet leaf,orchid,sandalwood,ozonic,floral,aquatic,powdery,woody
fleur,avon,"mango, passion flower, mandarin orange","apple blossom, marigold, rose","iris, musk, woody notes",fruity,tropical,floral,sweet,citrus
herstory-love-inspires,avon,"apricot, mandarin orange, jasmine","brandy, iris, gardenia","praline, amber, vetiver",sweet,woody,lactonic,iris,powdery
imari-2015,avon,"aldehydes, bergamot, italian lemon","iris, rose, jasmine","patchouli, amber, vanilla",citrus,aldehydic,iris,powdery,fresh
avon-life-by-kenzo-takada-for-her,avon,"water lily, citruses, white tea, red apple","peony, violet, japanese cherry blossom","iris, ambrette (musk mallow), patchouli",floral,fresh,violet,citrus,powdery
always-2018,avon,"neroli, plum, bergamot","rose, peony, mandarin blossom","sandalwood, vanilla, apricot",rose,floral,fresh,woody,citrus
my-euphoria,calvin-klein,black currant,"orchid, sesame, tuberose","sandalwood, agarwood (oud), bamboo",woody,fruity,floral,powdery,soft spicy
emporio-armani-diamonds-eau-de-toilette,giorgio-armani,"pink pepper, bergamot",rose,"vetiver, musk",rose,musky,aromatic,soft spicy,citrus
l-eau-d-issey-solar-violet,issey-miyake,pear,violet,iris,violet,powdery,iris,fruity,fresh
la-belle-le-parfum-2024,jean-paul-gaultier,pear,vanilla,tonka,vanilla,sweet,fruity,amber,aquatic
flash,jimmy-choo,"pink pepper, big strawberry, tangerine","tuberose, white lily, jasmine","heliotrope, white wood",white floral,fruity,sweet,soft spicy,tuberose
twirl,kate-spade,"watermelon, red currant, blackberry","magnolia, african orange flower, tiare flower, jasmine","sweet notes, musk",fruity,white floral,sweet,floral,ozonic
wild,kenzo,"pink grapefruit, pink pepper, pomegranate","peony, orange blossom, green almond","musk, cedar, white tea",citrus,woody,floral,fresh,musky
kenzo-world-eau-de-toilette,kenzo,"pear, bergamot","peony, almond blossom, rose","white musk, orris root, violet, iso e super, vanilla, sandalwood",floral,fresh,powdery,rose,sweet
la-rose-extreme,les-parfums-de-rosine,"tagetes, violet, black currant, neroli","rose, jasmine, iris, ylang-ylang, african orange flower","musk, peru balsam, sandalwood, benzoin, tonka bean",rose,balsamic,floral,woody,powdery
when-the-rain-stops,maison-martin-margiela,"green notes, bergamot, pink pepper","watery notes, rain notes, turkish rose, jasmine","pine tree, moss, patchouli",aquatic,woody,green,ozonic,rose
crazy-in-love,montale,"wild rose, violet leaves","saffron, brown sugar","amber, vanilla bean",rose,warm spicy,sweet,amber,metallic
innocent-rock,mugler,"grapes, litchi",rose,pepper,fruity,rose,fresh spicy,tropical,sweet
lady-million-lucky,paco-rabanne,raspberry,"hazelnut, rose, jasmine","honey, cashmere wood, sandalwood, cedar",woody,sweet,fruity,honey,rose
notorious,ralph-lauren,"pink pepper, black currant, bergamot","carnation, peony, white chocolate","patchouli, vanilla, musk, orris root",floral,warm spicy,soft spicy,fruity,sweet
itislove,salvador-dali,"pink pepper, pomegranate, grapefruit","immortelle, narcissus, rose, iris","musk, amber, sandalwood, vanille",woody,powdery,musky,sweet,herbal
incanto-amity,salvatore-ferragamo,"mandarin orange, melon","lotus, white peach, jasmine","white musk, cedar",aquatic,ozonic,citrus,floral,fruity
neonatura-souffle,yves-rocher,"ginger, italian lemon, mandarin orange, bergamot","tiare flower, ylang-ylang, jasmine","vanilla, amber, benzoin",citrus,white floral,warm spicy,amber,vanilla
a-daisy-bouquet-in-london,zara,bergamot,jasmine,white musk,citrus,white floral,fresh spicy,aromatic,floral
play-it-wild-for-her,playboy,"pear, mandarin orange, neroli","coca-cola, rhubarb, orange blossom","vanilla, amber, violet",coca-cola,fruity,citrus,sweet,vanilla
midnight-pearl,oriflame,"pear, african orange flower, freesia","jasmine, peony, frangipani, carnation","patchouli, agarwood (oud), virginia cedar, vetiver",floral,white floral,woody,fresh,patchouli
life-circle-fruit,oriflame,"pear, pineapple","jasmine, osmanthus","vanilla, musk",fruity,sweet,floral,white floral,fresh
memories-flirting-under-fireworks,oriflame,apricot,white rose,praline,sweet,rose,lactonic,fruity,nutty
miss-yes-to-love,oriflame,raspberry,lamprocapnos,almond,fruity,sweet,floral,almond,nutty
oasis-fresh-dawn,oriflame,"cardamom, black pepper, mandarin orange",lily,"sand, peru balsam, amber",sand,white floral,amber,warm spicy,balsamic
love-fury,nine-west,"red berries, mandarin orange, rose, mimosa","sandalwood, tiare flower, jasmine","musk, woodsy notes, amber, iris",woody,fruity,powdery,sweet,white floral
lady-rebel-rock-deluxe,mango,"bergamot, pomelo","gardenia, tuberose","peru balsam, patchouli, leather",citrus,balsamic,white floral,woody,patchouli
1875-carmen-bizet,histoires-de-parfums,"ginger, artemisia, lemon","white flowers, saffron","patchouli, guaiac wood, incense, sandalwood",warm spicy,woody,patchouli,herbal,balsamic
wishes-dreams,bebe,"freesia, pear, bergamot","jasmine, violet, osmanthus","patchouli, woodsy notes, musk",floral,woody,patchouli,fruity,white floral
splash-blue-seduction-for-women,antonio-banderas,"tangerine, pear, peach, black currant","raspberry, gardenia, freesia, jasmine, rose","woodsy notes, musk",fruity,sweet,citrus,white floral,unknown
the-queen-of-spades-modern,brocard,"mango, citruses","rose, jasmine, orange blossom","patchouli, vanilla, candy apple, musk",fruity,sweet,tropical,patchouli,vanilla
mirror,brocard,"gourmand accord, coffee","spicy notes, woody notes","amber, musk, fern",warm spicy,woody,amber,coffee,sweet
clinique-happy-to-be,clinique,"water notes, pear","lilac, hibiscus, syringa, rose","sandalwood, cacao",floral,aquatic,fresh,sweet,white floral
beau-monde,faberlic,bergamot,"pink pepper, gardenia, red berries, saffron, rose, violet","sandalwood, amber, palisander rosewood, tonka bean, musk",woody,amber,sweet,white floral,warm spicy
eau-de-lacoste-l-12-12-pour-elle-eau-fraiche,lacoste-fragrances,"grapefruit, yellow mandarin, pink pepper","water notes, magnolia, egyptian jasmine","musk, indonesian patchouli leaf",citrus,aquatic,floral,musky,fresh
magnetic-for-her,mexx,red apple,"floral notes, lotus",sandalwood,floral,fruity,woody,aquatic,unknown
virginia-rose,acca-kappa,"grapefruit, lemon","rose, geranium, tea leaf, lily-of-the-valley","brazilian rosewood, amber",rose,citrus,fresh spicy,aromatic,green
altesse-mysore,alexandre-j,"pink pepper, ambroxan, elemi","rose, dried plum, jasmine","cedar, white musk, patchouli, benzoin, amberwood, vanilla",woody,amber,musky,rose,fruity
dkny-be-delicious,donna-karan,"cucumber, grapefruit, magnolia","green apple, lily-of-the-valley, tuberose, violet, rose","woodsy notes, sandalwood, amber",green,fruity,aquatic,ozonic,fresh
dkny-be-delicious-electric-loving-glow,donna-karan,"grapes, pineapple, black currant","apricot, violet, jasmine","vanilla, amberwood, musk",fruity,sweet,powdery,vanilla,unknown
dkny-stories,donna-karan,"milk mousse, guava, black cardamom, pink pepper","iris, white tea, jasmine sambac","vanilla, white sandalwood, ambergris",vanilla,lactonic,fruity,sweet,tropical
andalucia-sensuelle,id-parfums,"bitter orange, mandarin orange","orange blossom, white flowers","patchouli, salt",citrus,white floral,patchouli,unknown,unknown
sweet-sixteen,jeanne-arthes,bergamot,"green apple, jasmine","red currant, virginia cedar, cypress",fruity,woody,fresh,citrus,fresh spicy
tubereuse-neroli,jeanne-en-provence,"neroli, green leaves, mandarin orange","tuberose, orange blossom, petitgrain, orangewood","powdery notes, musk, cedar",white floral,citrus,green,tuberose,powdery
wild-orchid,just-jack,"honey, bergamot, orange","turkish rose, orange blossom, jasmine","myrrh, balsamic notes, sandalwood, labdanum",amber,citrus,white floral,rose,sweet
ride-or-die,kkw-fragrance,"blackberry, plum, mandarin orange","night blooming jasmine, raspberry, gardenia","vanilla, caramel, tonka bean",fruity,sweet,vanilla,white floral,caramel
curve-chill,liz-claiborne,"green tea, lemon, ginger","peony, sweet pea, freesia","musk, vetiver, cedar",floral,fresh,citrus,warm spicy,green
art-mosaic,masaki-matsushima,"tangerine, grapefruit, lemon","princess tree or paulownia, pink pepper","mango, musk",citrus,tropical,fruity,sweet,musky
eternal-beauty,naomi-campbell,"star anise, bergamot, red apple, paprika","orchid, cinnamon, jasmine, magnolia","vanille, sandalwood, virginia cedar",floral,powdery,soft spicy,anis,woody
sultan-rouge,pascal-morabito,"saffron, jasmine",ambergris,cedar,amber,warm spicy,white floral,animalic,metallic
dolce-sense-choco-menthe,paris-elysees,"caramel, orange oil, fruits","mint, chocolate","vanilla, moss, tonka bean",sweet,caramel,green,aromatic,vanilla
stone-supernova-for-her,replay,"apple, watery notes","gardenia, fruity notes, rose, ylang-ylang","musk, sandalwood, amber",fruity,aquatic,fresh,white floral,musky
lil-dipper,pinrose,"apple, lemon, bergamot","lavender, peony, mandarin blossom","amber, sandalwood, cedar",citrus,fresh,floral,lavender,aromatic
live-joyously,philosophy,tangerine,pink peony,patchouli,patchouli,floral,fresh,woody,warm spicy
colore-colore-green,parfums-genty,"green notes, bergamot, tangerine","raspberry, lily-of-the-valley, black currant, jasmine, rose","musk, cedar, sandalwood",green,fruity,white floral,sweet,musky
satomi-pink,parfums-genty,"rose, bergamot, jasmine, grapefruit, lemon","raspberry, red berries, wild strawberry, peach","musk, woody notes",fruity,sweet,citrus,rose,unknown
travel-to-see-yourself,parfums-genty,"white tea, peach, bergamot","osmanthus, jasmine, plum, rose","musk, amberwood",fruity,floral,green,fresh,citrus
pure-soul,morph,"bergamot, lemon","floral notes, jasmine, ylang-ylang","powdery notes, white musk, tonka bean",powdery,floral,musky,vanilla,sweet
lr-classics-marbella,lr,"orange, bergamot, water notes","jasmine, rose","patchouli, vanille, vetiver, musk",citrus,woody,patchouli,earthy,vanilla
take-me-to-the-moon,korloff-paris,"pear, peach, bergamot","jasmine, osmanthus, red rose","sandalwood, white musk, patchouli",fruity,white floral,floral,powdery,woody
claudia-leitte-intense,jequiti,"grapefruit, orange blossom, mandarin orange, litchi, tamarind, cassis","lily-of-the-valley, jasmine, frangipani, turkish rose, magnolia","vanilla, tonka bean, amber, musk, sandalwood, cedar, moss",vanilla,amber,powdery,white floral,citrus
chocolat-frais,il-profvmo,"wormwood, almond blossom, granny smith apple","cacao, carambola (star fruit), pomegranate, peach","vanilla, woodsy notes, heliotrope",cacao,fruity,vanilla,sweet,warm spicy
ferre-rose-princesse,gianfranco-ferre,"blueberry, green apple, orange, bergamot, amalfi lemon","rose, magnolia, lilac, violet leaf","musk, sandalwood, brazilian rosewood",citrus,floral,fruity,rose,fresh
mistica,furla,"lime, pepper, raspberry","damask rose, rose water","vanila, cedar, vetiver",citrus,rose,fresh spicy,sweet,fruity
laskarina,frapin,"pear, pink pepper, grapefruit, bergamot","orange blossom, bulgarian rose","olibanum, black pepper, iris, ambroxan",amber,fresh spicy,citrus,sweet,fruity
instance-cha-verde-e-roma,eudora,"pomegranate, green apple, violet leaf","plum, lily-of-the-valley, cinnamon","musk, almond, patchouli",fruity,woody,fresh spicy,green,ozonic
like-a-million-miles-away,essence,"mango, mandarin orange, grapefruit","praline, plum, rose","vanila, musk, cedar",sweet,fruity,citrus,vanilla,tropical
touch-of-seduction,christina-aguilera,"raspberry, litchi, freesia","rose, iris, honeysuckle","vanilla, sandalwood, musk",fruity,rose,sweet,powdery,vanilla
xtina,christina-aguilera,"raspberry, black currant, pear","rose petals, sugar, violet leaf, jasmine","patchouli, oakmoss, musk, amber",fruity,sweet,woody,earthy,patchouli
c-est-la-fete,christian-lacroix,"pear, passionfruit, apricot, black currant, bergamot","tagetes, rose, mirabelle plum, jasmine","orchid, vanilla, musk, sandalwood",fruity,sweet,powdery,floral,fresh
tooty-musk,al-rehab,"black currant, rose hip, pink pepper","raspberry, blackberry, white lily","white musk, vanilla",fruity,sweet,musky,rose,unknown
